name,address,phone,website,category,rating,reviews_count,latitude,longitude,gmaps_url
小戴修車,"
1901 Del Mar Ave, San Gabriel, CA 91776",+16265733922; 626) 573-3922,,,4.1,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
Blue Star Automotive 蓝星汽车,"
8438 Garvey Ave, Rosemead, CA 91770",+16263000800; 626) 300-0800,,,4.7,,34.002473,-118.259036,"https://www.google.com/maps/place/Blue+Star+Automotive+%E8%93%9D%E6%98%9F%E6%B1%BD%E8%BD%A6/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2d07467ce3f61:0xeffe6c804b2b102b!8m2!3d34.0622818!4d-118.0853306!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBDmF1dG9fYm9keV9zaG9wmgEgQ2hSRFNVaE5NRzluUzBWSlEwRm5TVVJPY0RSalRoQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQIQ!16s%2Fg%2F1tp08cxs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
City Tech Auto Repair自助洗车,"
8419 Garvey Ave, Rosemead, CA 91770",+16265729900; 626) 572-9900,https://www.citytechauto.com/,,3.8,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
刘恩汽车修理,"
8737 Valley Blvd, Rosemead, CA 91770",+16263157027; 626) 315-7027,,,4.1,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
天猫汽车,"
601 E Las Tunas Dr, San Gabriel, CA 91775",+16263254134; 626) 325-4134,,,4.4,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%A4%A9%E7%8C%AB%E6%B1%BD%E8%BD%A6/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2dade4f356259:0xaa21f9ed4c005f79!8m2!3d34.103729!4d-118.0932539!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjRNRmx4TWxabkVBRaoBZAoHL20vMGs0agoKL20vMDMwcWIzdBABKg8iC-S_riDovaYg5bqXKBAyHxABIhs3-PnrGabXZAvg9poyNlYh0g0Va87wvwqlGdMyGRACIhXmtJvmnYnnn7Yg5L-uIOi9piDlupfgAQD6AQQIExAK!16s%2Fg%2F11b6cp76rl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
Prime Direction Auto Inc.远舰钣金汽修,"
2020 Rosemead Blvd, South El Monte, CA 91733",+16267166603; 626) 716-6603,,,5.0,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
HK auto group,"
9311 Rush St, South El Monte, CA 91733",+16264011180; 626) 401-1180,,,4.4,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
小李俢車廠,"
19272 E Walnut Dr N, Rowland Heights, CA 91748",+16269651114; 626) 965-1114,https://www.kbmotorusa.com/,,4.5,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
T & M Auto Repair Corporation,"
16 W Live Oak Ave UNIT D, Arcadia, CA 91007",+16265749899; 626) 574-9899,,,4.6,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
Auto Services Body Shop Mechanic Shop inc,"
152 W Pico Blvd, Los Angeles, CA 90015",+18187678001; 818) 767-8001,,,4.1,,34.037239,-118.566898,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
San Gabriel Automotive,"
900 E Las Tunas Dr, San Gabriel, CA 91776",+16262875708; 626) 287-5708,http://san-gabriel-automotive.edan.io/,,4.6,,34.002473,-118.259036,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
Wing Hin Auto Repair,"
3754 N Mission Rd D, Los Angeles, CA 90031",+13232233388; 323) 223-3388,https://z7az.top/business/wing-hin-auto-repair-p_i-YBIc,,4.4,,34.069169,-118.504384,"https://www.google.com/maps/place/%E5%B0%8F%E6%88%B4%E4%BF%AE%E8%BB%8A/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2db33bd773159:0x8ad1ae56705bf3b1!8m2!3d34.0751483!4d-118.0999008!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXWhciFea0m-adieeftiDkv64g6L2mIOW6l5IBEGF1dG9fcmVwYWlyX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXpiRGhVVTNKM1JSQUKqAWQKBy9tLzBrNGoKCi9tLzAzMHFiM3QQASoPIgvkv64g6L2mIOW6lygQMh8QASIbN_j56xmm12QL4PaaMjZWIdINFWvO8L8KpRnTMhkQAiIV5rSb5p2J55-2IOS_riDovaYg5bqX4AEA-gEECAAQGw!16s%2Fg%2F11fl905dz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
Silver Star Service - Bosch Car Service,"
600 W Garvey Ave, Monterey Park, CA 91754",+16262840312; 626) 284-0312,,,4.7,,34.062174,-118.435842,"https://www.google.com/maps/place/Silver+Star+Service+-+Bosch+Car+Service/@34.0024725,-118.2590365,11z/data=!4m10!1m2!2m1!1z5rSb5p2J55-2IOS_rui9puW6lw!3m6!1s0x80c2c55c66899cc5:0xef79f534180ea16d!8m2!3d34.0621739!4d-118.1309716!15sChPmtJvmnYnnn7Yg5L-u6L2m5bqXkgEQYXV0b19yZXBhaXJfc2hvcKoBZAoHL20vMGs0agoKL20vMDMwcWIzdBABKg8iC-S_riDovaYg5bqXKBAyHxABIhs3-PnrGabXZAvg9poyNlYh0g0Va87wvwqlGdMyGRACIhXmtJvmnYnnn7Yg5L-uIOi9piDlupfgAQA!16s%2Fg%2F1wbf_p4t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"
